source,make,year,model,price,engine,total_time,engine_time,location,title,url,image_url,description,first_seen,last_seen
aircraftforsale,Aviat Husky,2002,Husky,"$155,000",,,,78058 Mountain Home Texas,Aviat A-1B Husky,https://aircraftforsale.com/aircraft/single-engine-piston/aviat/a-1b-husky/78058-mountain-home-texas-united-states/aviat-a-1b-husky-for-sale-600412,,"Aviat A-1B Husky Top Listing Aviat A-1B Husky A-1B Husky S/N : 2213 REG : N99HY TT : 1440 Year : 2002 Garmin GNC355, GTX327 Transponder, GDL 88 ADS-B In and Out, Aera 560 Portable w/XM, Aspen EFD 1000, LED Nav and Landing Lights, 26"" ... $155,000 Save compare_arrows add_circle_outline Add to comparing list compare_arrows Comparing list delete_outline Remove from comparing list Apply for Financing Texas, United States",2026-05-29,2026-05-30
aviat,Aviat Husky,2007,Husky A-1C-180,"$245,000",180 hp,,,,2007 Husky A-1C-180 N777HY,https://aviataircraft.com/husky-aircraft-used-inventory/#N777HY,,"
</div><div class=""fusion-clearfix""></div></div></div><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-8 fusion_builder_column_1_1 1_1 fusion-one-full fusion-column-first fusion-column-last fusion-column-no-min-height"" style=""--awb-padding-right:40px;--awb-padding-left:40px;--awb-bg-size:cover;--awb-margin-bottom:0px;""><div class=""fusion-column-wrapper fusion-column-has-shadow fusion-flex-column-wrapper-legacy""><div class=""fusion-text fusion-text-6"" style=""--awb-text-transform:none;""><p style=""text-align: center;"">Becker, Port GPS, Artificial Horizon, Garmin 496, Power Port Receptacle, Bose Harness, Garmin GTX-345 with GPS MODES Transponder, ADSB with GAE-12 Digital Encoder, GA-35 WAAS GPS Antenna, Garmin Aera 660 Portable GPS | Oversize Tires | MT Propeller | S",2026-05-29,2026-05-30
aviat,Aviat Husky,2019,Husky A-1C-180,"$365,000",180 hp,168 TT,,C29,2019 Husky A-1C-180 N18AH,https://aviataircraft.com/husky-aircraft-used-inventory/#N18AH,,"
</div><div class=""fusion-clearfix""></div></div></div><div class=""fusion-layout-column fusion_builder_column fusion-builder-column-4 fusion_builder_column_1_1 1_1 fusion-one-full fusion-column-first fusion-column-last fusion-column-no-min-height"" style=""--awb-padding-right:40px;--awb-padding-left:40px;--awb-bg-size:cover;--awb-margin-bottom:0px;""><div class=""fusion-column-wrapper fusion-column-has-shadow fusion-flex-column-wrapper-legacy""><div class=""fusion-text fusion-text-4"" style=""--awb-text-transform:none;""><p style=""text-align: center;"">Garmin G500TXi Touch Screen PFD/MFD &amp; Engine Information System, Garmin 750 Nav/Com GPS, GMA35C, Bluetooth Enabled Audio Panel, GTX 345R ADS-B Remote Transponder, Bose Headset Jacks/Twin Plugs, Garmin GTR 225A, GFC500 3 Axis Autopilot, Garmin GI275",2026-05-29,2026-05-30
barnstormers,Aviat Husky,2005,Husky,,,,,,2005 Aviat Husky A 1B,https://www.barnstormers.com/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B,,"                   <td style=""white-space:nowrap;""><a class='listing_header' style=""vertical-align:baseline;text-decoration:underline;color:black;"" href='/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B'>2005 Aviat Husky A-1B</a> <a style=""vertical-align:baseline;font-size:small;"" class='featured_click' href='/adclick.php?type=featured_category_clicks&id=2035874&adtitle=2005-Aviat-Husky-A-1B'>Click Here...</a></td>
                            <!-- <td style=""wh",2026-05-29,2026-05-30
controller,Aviat Husky,1999,A-1B,"$179,900",,"1,675 TT","1,675 SNEW","Mcallen, Texas",1999 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/254195533/1999-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11010765447&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=KlPxEAYUw%2b4SzHAmv4661VeT79u4uLyqCqRbmmV6blo%3d,"1999 AVIAT HUSKY A-1B Piston Single Aircraft Options Featured Listing USD $179,900 Payments as low as USD $1,667.70 * *Apply for Financing Operating Costs View Details Total Time : 1,675 Serial Number : 2023 Registration # : N799FW FlightRules : IFR Engine 1 Time : 1,675 SNEW Year Interior : 1999 Description : $10,000 Price Drop! One of a kind! A one owner, NDH, IFR 180HP Husky with a 3-axis Garmin GFC500 autopilot, a 430W, a KX155 w/ GS, a Garmin 345 tra... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller +1 956-686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2000,A-1B,"$134,553",Lycoming O-360-A1P,420 TT,420 SNEW,"London, London, United Kingdom",2000 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/256480029/2000-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11024029464&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=XVXF7CoSYWxZLW4hF4PELrSP2KwmJFr8CNTFnuqWeO4%3d,"2000 AVIAT HUSKY A-1B Piston Single Aircraft Options See All 14 Photos USD $134,553 Operating Costs View Details Total Time : 420 Serial Number : 2066 Registration # : N78HB FlightRules : VFR Engine 1 Time : 420 SNEW Engine 1 Make/Model : LYCOMING O-360-A1P Description : Updated : Tuesday, May 19, 2026 05:40 AM Location : London, London, United Kingdom Email Seller +44 7584 064729 Seller : Flightline Aviation Limted",2026-05-30,2026-05-30
controller,Aviat Husky,2007,A-1B,"$245,000",,294 TT,294 SNEW,"Middleton, Wisconsin",2007 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/250363283/2007-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=10018019040&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=8BGyuwmx2TIlYs%2f%2fEM5u119qwSaCvCmXXcpL%2bfEHxPc%3d,"2007 AVIAT HUSKY A-1B Piston Single Aircraft Options See All 9 Photos USD $245,000 Payments as low as USD $2,271.18 * *Apply for Financing Operating Costs View Details Total Time : 294 Serial Number : 2387 Registration # : N777HY Number of Seats : 2 FlightRules : VFR Engine 1 Time : 294 SNEW Description : 2007 Husky A-1B-180 Yellow Classic Birkmeyer - Becker/Port GPS, Artificial Horizon, Garmin 496, Power Port Receptacle, Bose Harness (mono), Garmin ... Updated : Friday, May 08, 2026 09:00 AM Location : Middleton, Wisconsin Email Seller (608) 332-6110 Seller : Aviat Aircraft Inc.",2026-05-30,2026-05-30
controller,Aviat Husky,2007,A-1B,"$199,000",,475 TT,475 SNEW,"Mcallen, Texas",2007 AVIAT HUSKY A-1B,https://www.controller.com/listing/for-sale/254084127/2007-aviat-husky-a-1b-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11010646180&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=19oSWckYsRaZvNleLvbHRwZasWDC6qgHc%2fBmumaCI4c%3d,"2007 AVIAT HUSKY A-1B Piston Single Aircraft Options Featured Listing See All 15 Photos USD $199,000 Payments as low as USD $1,844.75 * *Apply for Financing Operating Costs View Details Total Time : 475 Serial Number : 2392 Registration # : N168AA FlightRules : VFR Engine 1 Time : 475 SNEW Year Interior : 2007 Description : Not just a PRICE DROP, this is a PRICE PLUMMET! Owner says SELL IT! Price reduced $30,000! Outstanding NDH, no corrosion, lightweight low time 180H... Updated : Friday, May 29, 2026 02:14 PM Location : Mcallen, Texas Email Seller +1 956-686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2011,A-1C-180,"$239,000",180 hp,180 TT,180 SNEW,"Mcallen, Texas",2011 AVIAT HUSKY A-1C-180,https://www.controller.com/listing/for-sale/255957485/2011-aviat-husky-a-1c-180-piston-single-aircraft,https://media.sandhills.com/img.axd?id=11025841962&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=7IxjXyKOLExI4j5hTuObpWgzprz3hk43O5r5U4%2fM9rc%3d,"2011 AVIAT HUSKY A-1C-180 Piston Single Aircraft Options Featured Listing See All 16 Photos USD $239,000 Payments as low as USD $2,215.56 * *Apply for Financing Operating Costs View Details Total Time : 180 Serial Number : 3136 Registration # : N300MA FlightRules : IFR Engine 1 Time : 180 SNEW Year Interior : 2011 Description : Outstanding ""Big Door"", super-low time 180HP IFR Husky. May annual by McCreery with new fuel sight tubes, new bungees w/ a fresh SGS kit, fresh eng... Updated : Friday, May 29, 2026 04:08 PM Location : Mcallen, Texas Email Seller +1 956-686-1774 Seller : MCCREERY AVIATION CO INC",2026-05-30,2026-05-30
controller,Aviat Husky,2012,A-1C-200,"$329,000",200 hp,410 TT,410 SNEW,"Tupelo, Mississippi",2012 AVIAT HUSKY A-1C-200,https://www.controller.com/listing/for-sale/249384829/2012-aviat-husky-a-1c-200-piston-single-aircraft,https://media.sandhills.com/img.axd?id=10013259912&wid=4326165471&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=MIGtF6CA6zdBpQIqqSQhUxNI0%2fakr6gi0kbO5wTS0ew%3d,"2012 AVIAT HUSKY A-1C-200 Piston Single Aircraft Options Featured Listing See All 11 Photos USD $329,000 Payments as low as USD $3,049.87 * *Apply for Financing Operating Costs View Details Total Time : 410 Registration # : N146HG Engine 1 Time : 410 SNEW Engine TBO : 2000 Description : Updated : Thursday, May 28, 2026 09:38 AM Location : Tupelo, Mississippi Email Seller (662) 368-8005 Seller : InmonAir",2026-05-30,2026-05-30
